	class_count	expression_avg	happy_avg	stu_count	tea_id	tags
838	6	214	0.073144739	4	14226760	[]
841	13	233.6153846	0.056877372	4	14072501	[]
842	14	174.5714286	0.097376756	9	23354261	[]
843	7	262.7142857	0.134643912	4	17978573	[]
845	10	264.3	0.121601657	5	26670299	[]
846	25	247.24	0.117114387	12	39221004	[]
847	19	238	0.062380613	7	34335063	[]
848	18	214.7777778	0.115551136	10	36621986	[]
854	9	271.5555556	0.084326985	8	37799435	[]
855	18	267.5	0.111514356	8	27706978	[]
857	8	215.125	0.053168936	5	2442816	[]
860	13	240.9230769	0.064479071	8	13582392	[]
861	9	224	0.139858128	4	16512024	[]
863	6	235.3333333	0.136754023	4	13663058	[]
867	22	210.5909091	0.080105423	7	20987687	[]
868	6	234.1666667	0.07107829	4	6879578	[]
870	7	162	0.051358398	4	17184349	[]
872	31	223.2580645	0.106540093	10	16474441	[]
874	8	278	0.025321217	4	29691459	[]
876	16	183.375	0.101381274	6	17370099	[]
879	15	224.6666667	0.1323217	7	37633558	[]
881	7	216.2857143	0.062410941	5	8526343	[]
882	20	250	0.063383412	15	26250404	[]
883	32	334.03125	0.073178531	18	15810979	[]
884	37	258.6486486	0.083541686	21	28408143	[]
885	14	222	0.101197238	10	31244404	[]
886	8	152.625	0.102333738	5	36397924	[]
887	8	178.125	0.085531979	4	7641876	[]
888	6	326.6666667	0.044992321	5	39296464	[]
889	28	275.5	0.059283764	8	31242494	[]
891	11	187.1818182	0.123789958	7	28443633	[]
893	12	204.5833333	0.080977089	9	22838084	[]
895	11	153.2727273	0.081549011	5	22295426	[]
896	10	326.3	0.056646404	5	19176835	[]
898	7	228	0.155248632	5	38217288	[]
899	15	338.8666667	0.038290973	7	1496985	[]
900	6	201.3333333	0.080097894	5	33775039	[]
903	7	192.5714286	0.07437435	6	9763414	[]
904	15	225.0666667	0.094634206	11	29703977	[]
905	16	227.0625	0.195240578	12	23447512	[]
907	11	253.2727273	0.080250157	11	29516789	[]
908	10	238.9	0.11086902	9	17345209	[]
910	13	169.4615385	0.118634093	9	31804280	[]
912	12	242.8333333	0.057197923	9	7865067	[]
914	8	243.5	0.084245868	5	21897311	[]
915	32	223	0.065827892	14	2774018	[]
916	14	324.1428571	0.099177651	8	35862022	[]
917	12	272.4166667	0.099615673	7	7400268	[]
919	7	275.8571429	0.134123268	5	34041327	[]
920	11	187.6363636	0.065111175	4	37835751	[]
921	14	218.1428571	0.103569738	7	26848847	[]
922	17	299.1764706	0.083957643	4	6820956	[]
923	34	348.1470588	0.078519887	8	29789571	[]
928	16	290.125	0.086760715	5	29515464	[]
930	13	187.5384615	0.122392816	9	11133067	[]
932	7	274.2857143	0.147864863	5	28798918	[]
933	17	226.4117647	0.036745962	8	11979389	[]
934	13	234.1538462	0.047431117	8	18545126	[]
936	27	213.5925926	0.063473187	13	29280803	[]
937	13	184.3846154	0.072814953	7	23348490	[]
938	20	190.6	0.062437259	6	7949133	[]
939	17	235.0588235	0.044780222	9	21896847	[]
942	7	233.2857143	0.062504776	4	35547691	[]
943	9	249.2222222	0.064448027	5	5392858	[]
944	11	275.4545455	0.072404608	5	6007263	[]
945	6	208.5	0.054125786	5	22902583	[]
949	33	212.030303	0.111095497	8	5716453	[]
950	15	280.9333333	0.044391816	10	28844752	[]
951	12	149.9166667	0.101454608	6	3360808	[]
952	15	262.8666667	0.084529915	5	20834551	[]
956	17	210.5294118	0.128389003	5	28396853	[]
960	17	327.7058824	0.064302151	9	33513095	[]
962	20	250.45	0.101666776	14	35738780	[]
963	15	221.7333333	0.048621223	5	14530920	[]
965	14	290.7857143	0.121312438	9	26882079	[]
